"Magnitude of electric impedance Z(f)"			
"Measured"		"Fitted"	
"Frequency [Hz]"	"[Ohm]"	"Frequency [Hz]"	"[Ohm]"
1.46484	5.65305	1.46484	5.66965
2.92969	5.74293	2.92969	5.71195
4.39453	5.85992	4.39453	5.78152
5.85938	6.04208	5.85938	5.87843
7.32422	6.17246	7.32422	6.00306
8.78906	6.39587	8.78906	6.15609
10.2539	6.57191	10.2539	6.33851
11.7188	6.86722	11.7188	6.55166
13.1836	7.09964	13.1836	6.79723
14.6484	7.4091	14.6484	7.07738
16.1133	7.73137	16.1133	7.39475
17.5781	8.16031	17.5781	7.75258
19.043	8.4694	19.043	8.15478
20.5078	8.93869	20.5078	8.6061
21.9727	9.54452	21.9727	9.11222
23.4375	10.2384	23.4375	9.67998
24.9023	10.5941	24.9023	10.3175
26.3672	11.4974	26.3672	11.0347
27.832	12.2268	27.832	11.8431
29.2969	13.0033	29.2969	12.7565
30.7617	14.0528	30.7617	13.7911
32.2266	14.8555	32.2266	14.9654
33.6914	16.5336	33.6914	16.3002
35.1563	17.5926	35.1563	17.8174
36.6211	19.0022	36.6211	19.5371
38.0859	21.3137	38.0859	21.4722
39.5508	23.7061	39.5508	23.6182
41.0156	25.4327	41.0156	25.9359
42.4805	26.8739	42.4805	28.3276
43.9453	30.2104	43.9453	30.614
45.4102	32.3532	45.4102	32.5343
46.875	34.321	46.875	33.8003
48.3398	35.3245	48.3398	34.2056
49.8047	32.3727	49.8047	33.7276
51.2695	32.5405	51.2695	32.532
52.7344	31.0017	52.7344	30.8803
54.1992	29.0106	54.1992	29.0228
55.6641	27.6216	55.6641	27.142
57.1289	25.7881	57.1289	25.3471
58.5938	24.3138	58.5938	23.6911
60.0586	22.2889	60.0586	22.1921
61.5234	20.6902	61.5234	20.8488
64.4531	18.8477	64.4531	18.5827
65.918	17.4417	65.918	17.6305
67.3828	16.8612	67.3828	16.7796
70.3125	15.2081	70.3125	15.3314
71.7773	14.5167	71.7773	14.7131
73.2422	14.04	73.2422	14.1535
76.1719	13.0209	76.1719	13.1825
77.6367	12.5335	77.6367	12.7596
80.5664	12.1238	80.5664	12.0158
83.4961	11.3985	83.4961	11.3845
84.9609	11.0203	84.9609	11.1037
87.8906	10.5161	87.8906	10.601
90.8203	9.96715	90.8203	10.1644
92.2852	9.80999	92.2852	9.9673
95.2148	9.42685	95.2148	9.60933
98.1445	9.23304	98.1445	9.29322
101.074	8.87366	101.074	9.01251
104.004	8.64128	104.004	8.76199
106.934	8.42338	106.934	8.53738
111.328	8.08053	111.328	8.24157
114.258	7.94956	114.258	8.06768
117.188	7.77976	117.188	7.90978
120.117	7.66509	120.117	7.76598
124.512	7.51114	124.512	7.57327
127.441	7.41167	127.441	7.45817
131.836	7.25856	131.836	7.30285
134.766	7.1726	134.766	7.20949
139.16	7.03071	139.16	7.08281
143.555	6.93496	143.555	6.97018
147.949	6.84337	147.949	6.86977
152.344	6.7469	152.344	6.78003
156.738	6.6663	156.738	6.69965
161.133	6.61857	161.133	6.62754
165.527	6.54786	165.527	6.56276
169.922	6.49232	169.922	6.50452
175.781	6.44417	175.781	6.43584
180.176	6.38196	180.176	6.39031
186.035	6.35277	186.035	6.33663
191.895	6.3097	191.895	6.29006
197.754	6.30532	197.754	6.24975
202.148	6.26145	202.148	6.22318
209.473	6.22667	209.473	6.18513
215.332	6.20163	215.332	6.15967
221.191	6.18156	221.191	6.13815
227.051	6.18455	227.051	6.12017
234.375	6.15286	234.375	6.10215
241.699	6.16809	241.699	6.08853
249.023	6.1601	249.023	6.07884
254.883	6.16212	254.883	6.07361
263.672	6.19336	263.672	6.06953
270.996	6.23067	270.996	6.06924
278.32	6.21319	278.32	6.07146
287.109	6.17151	287.109	6.07711
295.898	6.16178	295.898	6.08566
303.223	6.15742	303.223	6.09478
313.477	6.167	313.477	6.11025
322.266	6.17188	322.266	6.12576
331.055	6.19204	331.055	6.14313
341.309	6.21622	341.309	6.16547
351.563	6.22661	351.563	6.1898
361.816	6.23195	361.816	6.2159
372.07	6.25989	372.07	6.24356
382.324	6.28677	382.324	6.2726
394.043	6.31338	394.043	6.30726
405.762	6.35769	405.762	6.3433
417.48	6.37839	417.48	6.38052
429.199	6.39608	429.199	6.41877
442.383	6.43157	442.383	6.46282
455.566	6.44804	455.566	6.5078
468.75	6.4784	468.75	6.55352
481.934	6.51643	481.934	6.59985
496.582	6.5554	496.582	6.65187
511.23	6.58119	511.23	6.70432
525.879	6.622	525.879	6.75705
541.992	6.6886	541.992	6.81524
558.105	6.71691	558.105	6.87349
574.219	6.77108	574.219	6.93166
590.332	6.81735	590.332	6.98967
607.91	6.86653	607.91	7.05264
625.488	6.9058	625.488	7.11518
644.531	6.97361	644.531	7.18236
663.574	7.05274	663.574	7.24885
682.617	7.11589	682.617	7.31458
701.66	7.17395	701.66	7.37947
723.633	7.25776	723.633	7.45326
744.141	7.32109	744.141	7.52101
766.113	7.40599	766.113	7.59239
788.086	7.48051	788.086	7.66247
811.523	7.54445	811.523	7.73579
834.961	7.6303	834.961	7.8076
859.863	7.74123	859.863	7.88228
884.766	7.82254	884.766	7.95528
911.133	7.92214	911.133	8.0308
937.5	8.06213	937.5	8.10452
965.332	8.16376	965.332	8.18044
993.164	8.3006	993.164	8.25447
1022.46	8.45077	1022.46	8.33044
1051.76	8.65012	1051.76	8.40448
1082.52	8.78305	1082.52	8.48025
1114.75	8.84944	1114.75	8.55755
1146.97	8.88126	1146.97	8.63285
1180.66	8.79682	1180.66	8.70956
1215.82	8.79613	1215.82	8.78756
1250.98	8.74232	1250.98	8.86359
1287.6	8.79536	1287.6	8.94086
1325.68	8.85604	1325.68	9.01929
1365.23	8.94163	1365.23	9.09882
1404.79	9.04032	1404.79	9.17656
1445.8	9.11479	1445.8	9.25546
1488.28	9.21541	1488.28	9.33551
1532.23	9.35127	1532.23	9.41671
1576.17	9.4339	1576.17	9.49645
1623.05	9.58047	1623.05	9.58008
1669.92	9.71098	1669.92	9.66242
1719.73	9.86954	1719.73	9.74866
1769.53	9.95563	1769.53	9.8338
1822.27	10.1257	1822.27	9.92293
1875	10.2261	1875	10.0112
1930.66	10.3447	1930.66	10.1036
1986.33	10.4761	1986.33	10.1953
2044.92	10.6209	2044.92	10.2914
