"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
5.85938	0.983062	5.85938	0.919685	5.85938	0.953446		
7.32422	0.959557	7.32422	0.908594	7.32422	0.937449		
8.78906	0.942962	8.78906	0.895509	8.78906	0.920201		
10.2539	0.968944	10.2539	0.880668	10.2539	0.901767		
11.7188	0.872846	11.7188	0.864325	11.7188	0.882296		
13.1836	0.833018	13.1836	0.846733	13.1836	0.861979		
14.6484	0.819634	14.6484	0.82814	14.6484	0.841015		
16.1133	0.812892	16.1133	0.80878	16.1133	0.819599		
17.5781	0.791347	17.5781	0.78887	17.5781	0.797913		
19.043	0.753496	19.043	0.768605	19.043	0.776123		
20.5078	0.750936	20.5078	0.748156	20.5078	0.754371		
21.9727	0.720837	21.9727	0.727675	21.9727	0.732781		
23.4375	0.688498	23.4375	0.707287	23.4375	0.711456		
24.9023	0.666367	24.9023	0.687099	24.9023	0.69048		
26.3672	0.651183	26.3672	0.6672	26.3672	0.669921		
27.832	0.640691	27.832	0.647658	27.832	0.64983		
29.2969	0.614551	29.2969	0.628528	29.2969	0.630247		
30.7617	0.587453	30.7617	0.609854	30.7617	0.611199		
32.2266	0.571567	32.2266	0.591664	32.2266	0.592705		
33.6914	0.555862	33.6914	0.573982	33.6914	0.574776		
35.1563	0.548949	35.1563	0.55682	35.1563	0.557415		
36.6211	0.519127	36.6211	0.540185	36.6211	0.540622		
38.0859	0.516858	38.0859	0.524079	38.0859	0.524391		
39.5508	0.50127	39.5508	0.508498	39.5508	0.508715		
41.0156	0.495245	41.0156	0.493438	41.0156	0.493582		
42.4805	0.477771	42.4805	0.478889	42.4805	0.478978		
43.9453	0.466781	43.9453	0.464841	43.9453	0.464891		
45.4102	0.447564	45.4102	0.451281	45.4102	0.451305		
46.875	0.441601	46.875	0.438196	46.875	0.438204		
48.3398	0.416962	48.3398	0.425571	48.3398	0.425571		
49.8047	0.416914	49.8047	0.413393	49.8047	0.413391		
51.2695	0.402836	51.2695	0.401645	51.2695	0.401646		
52.7344	0.395976	52.7344	0.390314	52.7344	0.390322		
54.1992	0.379853	54.1992	0.379383	54.1992	0.379401		
55.6641	0.381888	55.6641	0.368839	55.6641	0.368869		
57.1289	0.363153	57.1289	0.358667	57.1289	0.35871		
58.5938	0.351468	58.5938	0.348853	58.5938	0.348909		
60.0586	0.337517	60.0586	0.339382	60.0586	0.339453		
61.5234	0.335875	61.5234	0.330242	61.5234	0.330328		
64.4531	0.309615	64.4531	0.312901	64.4531	0.313015		
65.918	0.308064	65.918	0.304676	65.918	0.304804		
67.3828	0.306813	67.3828	0.296733	67.3828	0.296873		
70.3125	0.282748	70.3125	0.281645	70.3125	0.281808		
71.7773	0.297499	71.7773	0.27448	71.7773	0.274654		
73.2422	0.276216	73.2422	0.267554	73.2422	0.267737		
76.1719	0.260579	76.1719	0.254383	76.1719	0.254583		
77.6367	0.253192	77.6367	0.248119	77.6367	0.248326		
80.5664	0.224472	80.5664	0.236196	80.5664	0.236415		
83.4961	0.224244	83.4961	0.225025	83.4961	0.225253		
84.9609	0.20889	84.9609	0.219704	84.9609	0.219936		
87.8906	0.213845	87.8906	0.209558	87.8906	0.209795		
90.8203	0.204488	90.8203	0.200032	90.8203	0.200272		
92.2852	0.196001	92.2852	0.195487	92.2852	0.195728		
95.2148	0.185329	95.2148	0.186806	95.2148	0.187047		
98.1445	0.185732	98.1445	0.178637	98.1445	0.178877		
101.074	0.178794	101.074	0.170944	101.074	0.171182		
104.004	0.161074	104.004	0.163693	104.004	0.163928		
106.934	0.165061	106.934	0.156853	106.934	0.157084		
111.328	0.155828	111.328	0.147302	111.328	0.147526		
114.258	0.145992	114.258	0.14137	114.258	0.141588		
117.188	0.140297	117.188	0.135759	117.188	0.135971		
120.117	0.120076	120.117	0.130448	120.117	0.130654		
124.512	0.132352	124.512	0.123	124.512	0.123196		
127.441	0.119634	127.441	0.118355	127.441	0.118545		
131.836	0.108706	131.836	0.111826	131.836	0.112006		
134.766	0.110382	134.766	0.107745	134.766	0.107919		
139.16	0.103895	139.16	0.101999	139.16	0.102163		
143.555	0.0855087	143.555	0.0966645	143.555	0.09682		
147.949	0.0939992	147.949	0.0917066	147.949	0.0918533		
152.344	0.0902617	152.344	0.087092	152.344	0.0872304		
156.738	0.0783178	156.738	0.0827912	156.738	0.0829216		
161.133	0.0791413	161.133	0.0787777	161.133	0.0789005		
165.527	0.0773358	165.527	0.0750276	165.527	0.0751432		
169.922	0.0701285	169.922	0.0715194	169.922	0.0716282		
175.781	0.0594954	175.781	0.0671847	175.781	0.067285		
180.176	0.0645982	180.176	0.0641683	180.176	0.0642628		
186.035	0.0615907	186.035	0.06043	186.035	0.0605171		
191.895	0.0626723	191.895	0.056986	191.895	0.0570664		
197.754	0.0527701	197.754	0.0538073	197.754	0.0538815		
202.148	0.0528028	202.148	0.0515819	202.148	0.0516519		
209.473	0.0465141	209.473	0.0481467	209.473	0.0482101		
215.332	0.0476815	215.332	0.0456222	215.332	0.0456808		
221.191	0.0367983	221.191	0.0432769	221.191	0.0433312		
227.051	0.0446761	227.051	0.041095	227.051	0.0411452		
234.375	0.0444052	234.375	0.0385756	234.375	0.0386213		
241.699	0.0345593	241.699	0.0362645	241.699	0.0363062		
249.023	0.0338549	249.023	0.0341403	249.023	0.0341784		
254.883	0.0293498	254.883	0.0325628	254.883	0.0325981		
263.672	0.02811	263.672	0.0303792	263.672	0.030411		
270.996	0.0319444	270.996	0.0287111	270.996	0.0287402		
278.32	0.0300118	278.32	0.0271666	278.32	0.0271933		
287.109	0.0227372	287.109	0.0254606	287.109	0.0254847		
295.898	0.0210862	295.898	0.0238988	295.898	0.0239206		
303.223	0.0217306	303.223	0.0226965	303.223	0.0227166		
313.477	0.0157115	313.477	0.0211491	313.477	0.021167		
322.266	0.0101663	322.266	0.0199362	322.266	0.0199525		
331.055	0.0193748	331.055	0.0188172	331.055	0.018832		
341.309	0.019494	341.309	0.0176182	341.309	0.0176316		
