"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
1.46484	-54.1409			1.46484	-96.2469
1.46484	-96.2469			1.46484	-96.2469
				1.46484	-96.2469
2.92969	-54.323			2.92969	-99.9849
2.92969	-99.9849			2.92969	-99.9849
				2.92969	-99.9849
4.39453	-56.7466			4.39453	-102.812
4.39453	-102.812			4.39453	-102.812
				4.39453	-102.812
5.85938	-56.2197			5.85938	-101.552
5.85938	-101.552			5.85938	-101.552
				5.85938	-101.552
7.32422	-55.9533			7.32422	-109.087
7.32422	-109.087			7.32422	-109.087
				7.32422	-109.087
8.78906	-55.9586			8.78906	-106.075
8.78906	-106.075			8.78906	-106.075
				8.78906	-106.075
10.2539	-56.0438			10.2539	-106.237
10.2539	-106.237			10.2539	-106.237
				10.2539	-106.237
11.7188	-56.2748			11.7188	-111.558
11.7188	-111.558			11.7188	-111.558
				11.7188	-111.558
13.1836	-56.449			13.1836	-104.871
13.1836	-104.871			13.1836	-104.871
				13.1836	-104.871
14.6484	-56.7585			14.6484	-108.493
14.6484	-108.493			14.6484	-108.493
				14.6484	-108.493
16.1133	-57.0528			16.1133	-114.232
16.1133	-114.232			16.1133	-114.232
				16.1133	-114.232
17.5781	-57.42			17.5781	-107.376
17.5781	-107.376			17.5781	-107.376
				17.5781	-107.376
19.043	-57.6705			19.043	-118.688
19.043	-118.688			19.043	-118.688
				19.043	-118.688
20.5078	-58.1169			20.5078	-121.739
20.5078	-121.739			20.5078	-121.739
				20.5078	-121.739
21.9727	-58.6549			21.9727	-114.697
21.9727	-114.697			21.9727	-114.697
				21.9727	-114.697
23.4375	-59.1842			23.4375	-109.815
23.4375	-109.815			23.4375	-109.815
				23.4375	-109.815
24.9023	-59.4507			24.9023	-111.667
24.9023	-111.667			24.9023	-111.667
				24.9023	-111.667
26.3672	-60.1784			26.3672	-109.716
26.3672	-109.716			26.3672	-109.716
				26.3672	-109.716
27.832	-60.6428			27.832	-110.513
27.832	-110.513			27.832	-110.513
				27.832	-110.513
29.2969	-61.0964			29.2969	-109.131
29.2969	-109.131			29.2969	-109.131
				29.2969	-109.131
30.7617	-61.8049			30.7617	-112.965
30.7617	-112.965			30.7617	-112.965
				30.7617	-112.965
32.2266	-62.2776			32.2266	-116.852
32.2266	-116.852			32.2266	-116.852
				32.2266	-116.852
33.6914	-63.1177			33.6914	-124.042
33.6914	-124.042			33.6914	-124.042
				33.6914	-124.042
35.1563	-63.6437			35.1563	-108.748
35.1563	-108.748			35.1563	-108.748
				35.1563	-108.748
36.6211	-64.258			36.6211	-111.847
36.6211	-111.847			36.6211	-111.847
				36.6211	-111.847
38.0859	-65.29			38.0859	-107.465
38.0859	-107.465			38.0859	-107.465
				38.0859	-107.465
39.5508	-66.1634			39.5508	-120.37
39.5508	-120.37			39.5508	-120.37
				39.5508	-120.37
41.0156	-66.787			41.0156	-112.94
41.0156	-112.94			41.0156	-112.94
				41.0156	-112.94
42.4805	-67.2669			42.4805	-107.26
42.4805	-107.26			42.4805	-107.26
				42.4805	-107.26
43.9453	-68.2542			43.9453	-111.559
43.9453	-111.559			43.9453	-111.559
				43.9453	-111.559
45.4102	-68.8382			45.4102	-109.151
45.4102	-109.151			45.4102	-109.151
				45.4102	-109.151
46.875	-69.3552			46.875	-110.188
46.875	-110.188			46.875	-110.188
				46.875	-110.188
48.3398	-69.614			48.3398	-110.507
48.3398	-110.507			48.3398	-110.507
