"Spectrum X(f) of voice coil displacement"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"
1.46484	0.0132247			1.46484	0.00163754
1.46484	0.00163754			1.46484	0.00163754
				1.46484	0.00163754
2.92969	0.0124861			2.92969	0.000432889
2.92969	0.000432889			2.92969	0.000432889
				2.92969	0.000432889
4.39453	0.0084506			4.39453	6.24088e-005
4.39453	6.24088e-005			4.39453	6.24088e-005
				4.39453	6.24088e-005
5.85938	0.00917876			5.85938	0.000425218
5.85938	0.000425218			5.85938	0.000425218
				5.85938	0.000425218
7.32422	0.00943768			7.32422	0.000434555
7.32422	0.000434555			7.32422	0.000434555
				7.32422	0.000434555
8.78906	0.00960428			8.78906	0.000355781
8.78906	0.000355781			8.78906	0.000355781
				8.78906	0.000355781
10.2539	0.0100415			10.2539	0.000178591
10.2539	0.000178591			10.2539	0.000178591
				10.2539	0.000178591
11.7188	0.00920409			11.7188	0.000275567
11.7188	0.000275567			11.7188	0.000275567
				11.7188	0.000275567
13.1836	0.00890107			13.1836	0.000254709
13.1836	0.000254709			13.1836	0.000254709
				13.1836	0.000254709
14.6484	0.00881985			14.6484	0.000459361
14.6484	0.000459361			14.6484	0.000459361
				14.6484	0.000459361
16.1133	0.0088237			16.1133	0.000101129
16.1133	0.000101129			16.1133	0.000101129
				16.1133	0.000101129
17.5781	0.00869106			17.5781	0.000197975
17.5781	0.000197975			17.5781	0.000197975
				17.5781	0.000197975
19.043	0.00834469			19.043	8.48669e-005
19.043	8.48669e-005			19.043	8.48669e-005
				19.043	8.48669e-005
20.5078	0.00833746			20.5078	0.000185798
20.5078	0.000185798			20.5078	0.000185798
				20.5078	0.000185798
21.9727	0.00803237			21.9727	0.000134072
21.9727	0.000134072			21.9727	0.000134072
				21.9727	0.000134072
23.4375	0.00774329			23.4375	0.000142515
23.4375	0.000142515			23.4375	0.000142515
				23.4375	0.000142515
24.9023	0.00752049			24.9023	3.07752e-005
24.9023	3.07752e-005			24.9023	3.07752e-005
				24.9023	3.07752e-005
