"Magnitude of electric impedance Z(f)"			
"Measured"		"Fitted"	
"Frequency [Hz]"	"[Ohm]"	"Frequency [Hz]"	"[Ohm]"
1.46484	5.67635	1.46484	5.73908
2.92969	5.89627	2.92969	5.80981
4.39453	6.04606	4.39453	5.92166
5.85938	6.38869	5.85938	6.07331
7.32422	6.66445	7.32422	6.26447
8.78906	7.03059	8.78906	6.49564
10.2539	7.04747	10.2539	6.76802
11.7188	7.69326	11.7188	7.08359
13.1836	8.33292	13.1836	7.44512
14.6484	8.58877	14.6484	7.85627
16.1133	9.17495	16.1133	8.32174
17.5781	10.1661	17.5781	8.84741
19.043	10.1242	19.043	9.44052
20.5078	11.1745	20.5078	10.1099
21.9727	12.9574	21.9727	10.8663
23.4375	14.6063	23.4375	11.7224
24.9023	13.9612	24.9023	12.6936
26.3672	16.3715	26.3672	13.7977
27.832	17.8765	27.832	15.0547
29.2969	17.4666	29.2969	16.4864
30.7617	18.1786	30.7617	18.1139
32.2266	19.3612	32.2266	19.953
33.6914	23.6429	33.6914	22.005
35.1563	23.8166	35.1563	24.2411
36.6211	24.4207	36.6211	26.5789
38.0859	30.7539	38.0859	28.8578
39.5508	30.822	39.5508	30.8316
41.0156	31.703	41.0156	32.211
42.4805	28.1723	42.4805	32.7684
43.9453	38.3429	43.9453	32.4483
45.4102	29.093	45.4102	31.3919
46.875	31.3212	46.875	29.852
48.3398	27.3081	48.3398	28.0822
49.8047	23.363	49.8047	26.2719
51.2695	24.9759	51.2695	24.5359
52.7344	24.6238	52.7344	22.9312
54.1992	21.794	54.1992	21.4782
55.6641	21.6525	55.6641	20.1766
57.1289	21.1529	57.1289	19.0164
58.5938	19.9483	58.5938	17.9838
60.0586	16.755	60.0586	17.064
61.5234	15.8955	61.5234	16.243
64.4531	15.7326	64.4531	14.8482
65.918	14.071	65.918	14.2537
67.3828	14.5965	67.3828	13.7162
70.3125	12.9725	70.3125	12.7849
71.7773	12.7969	71.7773	12.3799
73.2422	12.5937	73.2422	12.009
76.1719	11.9046	76.1719	11.3551
77.6367	11.5128	77.6367	11.0657
80.5664	11.1379	80.5664	10.5498
83.4961	10.7101	83.4961	10.1044
84.9609	10.3516	84.9609	9.90408
87.8906	9.91148	87.8906	9.54158
90.8203	9.24092	90.8203	9.22291
92.2852	9.31723	92.2852	9.07779
95.2148	9.13809	95.2148	8.81227
98.1445	9.00338	98.1445	8.57565
101.074	8.49217	101.074	8.36382
104.004	8.46026	104.004	8.1734
106.934	8.20417	106.934	8.00159
111.328	7.94463	111.328	7.77375
114.258	7.83513	114.258	7.639
117.188	7.64901	117.188	7.51613
120.117	7.61271	120.117	7.40381
124.512	7.37789	124.512	7.25269
127.441	7.32517	127.441	7.16213
131.836	7.20516	131.836	7.03957
134.766	7.12503	134.766	6.96573
139.16	6.9656	139.16	6.86534
143.555	6.87388	143.555	6.77595
147.949	6.79959	147.949	6.69617
152.344	6.72723	152.344	6.62483
156.738	6.63166	156.738	6.56094
161.133	6.60413	161.133	6.50365
165.527	6.53557	165.527	6.45225
169.922	6.48063	169.922	6.40611
175.781	6.41784	175.781	6.35186
180.176	6.39629	180.176	6.31603
186.035	6.35856	186.035	6.27398
191.895	6.32029	191.895	6.23775
197.754	6.28868	197.754	6.20666
202.148	6.25013	202.148	6.18637
209.473	6.25056	209.473	6.15769
215.332	6.19859	215.332	6.13888
221.191	6.19612	221.191	6.12335
227.051	6.1827	227.051	6.11078
234.375	6.16929	234.375	6.09879
241.699	6.17499	241.699	6.09051
249.023	6.17356	249.023	6.08553
254.883	6.17068	254.883	6.08369
263.672	6.19724	263.672	6.08412
270.996	6.22305	270.996	6.08712
278.32	6.2156	278.32	6.09227
287.109	6.1655	287.109	6.10102
295.898	6.16306	295.898	6.11226
303.223	6.16525	303.223	6.12335
313.477	6.17485	313.477	6.14123
322.266	6.19116	322.266	6.15852
331.055	6.20919	331.055	6.17742
341.309	6.22176	341.309	6.20132
351.563	6.26505	351.563	6.22697
361.816	6.2704	361.816	6.2542
372.07	6.29233	372.07	6.28282
382.324	6.31433	382.324	6.31268
394.043	6.33872	394.043	6.34814
405.762	6.36897	405.762	6.38485
417.48	6.40013	417.48	6.42265
429.199	6.39935	429.199	6.4614
442.383	6.45728	442.383	6.50595
455.566	6.47064	455.566	6.55137
468.75	6.50227	468.75	6.5975
481.934	6.5451	481.934	6.64421
496.582	6.58162	496.582	6.69665
511.23	6.64145	511.23	6.74953
525.879	6.64079	525.879	6.80271
541.992	6.71622	541.992	6.86143
558.105	6.75814	558.105	6.92025
574.219	6.81579	574.219	6.97905
590.332	6.87055	590.332	7.03773
607.91	6.91692	607.91	7.10151
625.488	6.95538	625.488	7.16493
644.531	7.03212	644.531	7.23315
663.574	7.10848	663.574	7.30077
682.617	7.17934	682.617	7.36771
701.66	7.24793	701.66	7.4339
723.633	7.34451	723.633	7.50927
744.141	7.39005	744.141	7.57861
766.113	7.47544	766.113	7.65177
788.086	7.55565	788.086	7.72372
811.523	7.63202	811.523	7.79911
834.961	7.71138	834.961	7.87308
859.863	7.81302	859.863	7.95012
884.766	7.9302	884.766	8.02556
911.133	8.01915	911.133	8.10371
937.5	8.13929	937.5	8.18012
965.332	8.28696	965.332	8.25893
993.164	8.42813	993.164	8.33589
1022.46	8.5753	1022.46	8.41496
1051.76	8.74294	1051.76	8.49212
1082.52	8.87659	1082.52	8.57116
1114.75	8.94685	1114.75	8.6519
1146.97	8.9366	1146.97	8.73062
1180.66	8.878	1180.66	8.81088
1215.82	8.87421	1215.82	8.89254
1250.98	8.88549	1250.98	8.97221
1287.6	8.92355	1287.6	9.0532
1325.68	8.98027	1325.68	9.13544
1365.23	9.0815	1365.23	9.21886
1404.79	9.17605	1404.79	9.3004
1445.8	9.28517	1445.8	9.38317
1488.28	9.39382	1488.28	9.46713
1532.23	9.5025	1532.23	9.55229
1576.17	9.60908	1576.17	9.63588
1623.05	9.75126	1623.05	9.72351
1669.92	9.86559	1669.92	9.80973
1719.73	10.0301	1719.73	9.89998
1769.53	10.1444	1769.53	9.98903
1822.27	10.2759	1822.27	10.0822
1875	10.3963	1875	10.1743
1930.66	10.5375	1930.66	10.2707
1986.33	10.6816	1986.33	10.3663
2044.92	10.8171	2044.92	10.4663
