"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
5.85938	1.17064	5.85938	0.993949	5.85938	1.11158		
7.32422	1.14441	7.32422	0.977426	7.32422	1.0752		
8.78906	1.10641	8.78906	0.958203	8.78906	1.03936		
10.2539	1.09249	10.2539	0.936745	10.2539	1.00387		
11.7188	0.919175	11.7188	0.913519	11.7188	0.968755		
13.1836	0.988538	13.1836	0.888968	13.1836	0.934172		
14.6484	0.82234	14.6484	0.863503	14.6484	0.900278		
16.1133	0.746862	16.1133	0.837487	16.1133	0.86722		
17.5781	0.883254	17.5781	0.811234	17.5781	0.835118		
19.043	0.780288	19.043	0.785008	19.043	0.804062		
20.5078	0.801952	20.5078	0.759024	20.5078	0.774114		
21.9727	0.826839	21.9727	0.733453	21.9727	0.745308		
23.4375	0.701128	23.4375	0.708428	23.4375	0.717659		
24.9023	0.689435	24.9023	0.684047	24.9023	0.691163		
26.3672	0.689765	26.3672	0.660381	26.3672	0.665803		
27.832	0.691066	27.832	0.637478	27.832	0.641554		
29.2969	0.57154	29.2969	0.615367	29.2969	0.61838		
30.7617	0.515826	30.7617	0.594061	30.7617	0.596244		
32.2266	0.557621	32.2266	0.573561	32.2266	0.575104		
33.6914	0.541007	33.6914	0.553862	33.6914	0.554918		
35.1563	0.500941	35.1563	0.534949	35.1563	0.53564		
36.6211	0.500404	36.6211	0.516802	36.6211	0.517228		
38.0859	0.519075	38.0859	0.499401	38.0859	0.49964		
39.5508	0.505834	39.5508	0.482718	39.5508	0.482833		
41.0156	0.456311	41.0156	0.466729	41.0156	0.466769		
42.4805	0.383185	42.4805	0.451405	42.4805	0.451408		
43.9453	0.436961	43.9453	0.436719	43.9453	0.436714		
45.4102	0.427079	45.4102	0.422644	45.4102	0.422653		
46.875	0.418244	46.875	0.409152	46.875	0.409192		
48.3398	0.419718	48.3398	0.396217	48.3398	0.396299		
49.8047	0.371511	49.8047	0.383814	49.8047	0.383946		
51.2695	0.352271	51.2695	0.371918	51.2695	0.372104		
52.7344	0.335471	52.7344	0.360505	52.7344	0.360748		
54.1992	0.342129	54.1992	0.349552	54.1992	0.349854		
55.6641	0.360829	55.6641	0.339037	55.6641	0.339397		
57.1289	0.313722	57.1289	0.32894	57.1289	0.329357		
58.5938	0.35398	58.5938	0.319241	58.5938	0.319712		
60.0586	0.293634	60.0586	0.309922	60.0586	0.310444		
61.5234	0.301483	61.5234	0.300964	61.5234	0.301534		
64.4531	0.301579	64.4531	0.284066	64.4531	0.284721		
65.918	0.305221	65.918	0.276094	65.918	0.276787		
67.3828	0.243953	67.3828	0.268422	67.3828	0.269148		
70.3125	0.255559	70.3125	0.25392	70.3125	0.254703		
71.7773	0.23197	71.7773	0.247065	71.7773	0.247871		
73.2422	0.224954	73.2422	0.240459	73.2422	0.241285		
76.1719	0.250017	76.1719	0.227947	76.1719	0.228804		
77.6367	0.226093	77.6367	0.222022	77.6367	0.222891		
80.5664	0.211138	80.5664	0.210785	80.5664	0.211669		
83.4961	0.177894	83.4961	0.200309	83.4961	0.2012		
84.9609	0.185102	84.9609	0.195336	84.9609	0.196228		
87.8906	0.183439	87.8906	0.185885	87.8906	0.186773		
90.8203	0.195143	90.8203	0.177047	90.8203	0.177927		
92.2852	0.177086	92.2852	0.172844	92.2852	0.173717		
95.2148	0.153239	95.2148	0.164837	95.2148	0.165696		
98.1445	0.163424	98.1445	0.157331	98.1445	0.158171		
101.074	0.179069	101.074	0.150286	101.074	0.151106		
104.004	0.145031	104.004	0.143668	104.004	0.144465		
106.934	0.148866	106.934	0.137444	106.934	0.138217		
111.328	0.141283	111.328	0.128786	111.328	0.129521		
114.258	0.132923	114.258	0.123427	114.258	0.124137		
