"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
1.46484	-37.5918			1.46484	-98.4393
1.46484	-98.4393			1.46484	-98.4393
				1.46484	-98.4393
2.92969	-37.8802			2.92969	-105.223
2.92969	-105.223			2.92969	-105.223
				2.92969	-105.223
4.39453	-40.2844			4.39453	-106.258
4.39453	-106.258			4.39453	-106.258
				4.39453	-106.258
5.85938	-39.9168			5.85938	-112.375
5.85938	-112.375			5.85938	-112.375
				5.85938	-112.375
7.32422	-39.8337			7.32422	-116.091
7.32422	-116.091			7.32422	-116.091
				7.32422	-116.091
8.78906	-40.0115			8.78906	-112.775
8.78906	-112.775			8.78906	-112.775
				8.78906	-112.775
10.2539	-39.8628			10.2539	-105.72
10.2539	-105.72			10.2539	-105.72
				10.2539	-105.72
11.7188	-40.4915			11.7188	-106.994
11.7188	-106.994			11.7188	-106.994
				11.7188	-106.994
13.1836	-41.0667			13.1836	-108.486
13.1836	-108.486			13.1836	-108.486
				13.1836	-108.486
14.6484	-41.2708			14.6484	-112.005
14.6484	-112.005			14.6484	-112.005
				14.6484	-112.005
16.1133	-41.7828			16.1133	-107.855
16.1133	-107.855			16.1133	-107.855
				16.1133	-107.855
17.5781	-42.5849			17.5781	-108.258
17.5781	-108.258			17.5781	-108.258
				17.5781	-108.258
19.043	-42.514			19.043	-109.457
19.043	-109.457			19.043	-109.457
				19.043	-109.457
20.5078	-43.329			20.5078	-106.366
20.5078	-106.366			20.5078	-106.366
				20.5078	-106.366
21.9727	-44.5785			21.9727	-115.732
21.9727	-115.732			21.9727	-115.732
				21.9727	-115.732
23.4375	-45.5843			23.4375	-107.421
23.4375	-107.421			23.4375	-107.421
				23.4375	-107.421
24.9023	-45.1844			24.9023	-110.125
24.9023	-110.125			24.9023	-110.125
				24.9023	-110.125
26.3672	-46.5473			26.3672	-113.28
26.3672	-113.28			26.3672	-113.28
				26.3672	-113.28
27.832	-47.2802			27.832	-113.597
27.832	-113.597			27.832	-113.597
				27.832	-113.597
29.2969	-47.0503			29.2969	-126.4
29.2969	-126.4			29.2969	-126.4
				29.2969	-126.4
30.7617	-47.4235			30.7617	-118.158
30.7617	-118.158			30.7617	-118.158
				30.7617	-118.158
32.2266	-47.9417			32.2266	-112.736
32.2266	-112.736			32.2266	-112.736
				32.2266	-112.736
33.6914	-49.6335			33.6914	-109.28
33.6914	-109.28			33.6914	-109.28
				33.6914	-109.28
35.1563	-49.7021			35.1563	-110.116
35.1563	-110.116			35.1563	-110.116
				35.1563	-110.116
36.6211	-49.9111			36.6211	-109.722
36.6211	-109.722			36.6211	-109.722
				36.6211	-109.722
38.0859	-51.903			38.0859	-111.073
38.0859	-111.073			38.0859	-111.073
				38.0859	-111.073
39.5508	-51.9059			39.5508	-126.463
39.5508	-126.463			39.5508	-126.463
				39.5508	-126.463
41.0156	-52.1561			41.0156	-111.893
41.0156	-111.893			41.0156	-111.893
				41.0156	-111.893
42.4805	-51.1477			42.4805	-109.799
42.4805	-109.799			42.4805	-109.799
				42.4805	-109.799
43.9453	-53.7884			43.9453	-105.848
43.9453	-105.848			43.9453	-105.848
				43.9453	-105.848
45.4102	-51.4075			45.4102	-107.785
45.4102	-107.785			45.4102	-107.785
				45.4102	-107.785
46.875	-52.0397			46.875	-105.542
46.875	-105.542			46.875	-105.542
				46.875	-105.542
48.3398	-50.8592			48.3398	-107.381
48.3398	-107.381			48.3398	-107.381
