"Spectrum X(f) of voice coil displacement"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"
1.46484	0.104864			1.46484	0.00070199
1.46484	0.00070199			1.46484	0.00070199
				1.46484	0.00070199
2.92969	0.102195			2.92969	0.000211916
2.92969	0.000211916			2.92969	0.000211916
				2.92969	0.000211916
4.39453	0.077612			4.39453	0.000261341
4.39453	0.000261341			4.39453	0.000261341
				4.39453	0.000261341
5.85938	0.0755089			5.85938	0.000259559
5.85938	0.000259559			5.85938	0.000259559
				5.85938	0.000259559
7.32422	0.0777423			7.32422	3.37933e-005
7.32422	3.37933e-005			7.32422	3.37933e-005
				7.32422	3.37933e-005
8.78906	0.0776844			8.78906	0.000203966
8.78906	0.000203966			8.78906	0.000203966
				8.78906	0.000203966
10.2539	0.0782189			10.2539	0.000123035
10.2539	0.000123035			10.2539	0.000123035
				10.2539	0.000123035
11.7188	0.066824			11.7188	9.60849e-005
11.7188	9.60849e-005			11.7188	9.60849e-005
				11.7188	9.60849e-005
13.1836	0.0728543			13.1836	0.000135305
13.1836	0.000135305			13.1836	0.000135305
				13.1836	0.000135305
14.6484	0.0610157			14.6484	5.58898e-005
14.6484	5.58898e-005			14.6484	5.58898e-005
				14.6484	5.58898e-005
16.1133	0.055809			16.1133	0.000246001
16.1133	0.000246001			16.1133	0.000246001
				16.1133	0.000246001
17.5781	0.0666801			17.5781	0.000110123
17.5781	0.000110123			17.5781	0.000110123
				17.5781	0.000110123
19.043	0.0591445			19.043	7.31885e-005
19.043	7.31885e-005			19.043	7.31885e-005
				19.043	7.31885e-005
20.5078	0.0610839			20.5078	9.08445e-005
20.5078	9.08445e-005			20.5078	9.08445e-005
				20.5078	9.08445e-005
21.9727	0.0632433			21.9727	0.000106912
21.9727	0.000106912			21.9727	0.000106912
				21.9727	0.000106912
23.4375	0.0538421			23.4375	0.00026897
23.4375	0.00026897			23.4375	0.00026897
				23.4375	0.00026897
24.9023	0.0529908			24.9023	9.28404e-005
24.9023	9.28404e-005			24.9023	9.28404e-005
				24.9023	9.28404e-005
26.3672	0.0531402			26.3672	0.000164618
26.3672	0.000164618			26.3672	0.000164618
				26.3672	0.000164618
27.832	0.0534308			27.832	0.000234887
27.832	0.000234887			27.832	0.000234887
				27.832	0.000234887
29.2969	0.0443344			29.2969	2.19094e-005
29.2969	2.19094e-005			29.2969	2.19094e-005
				29.2969	2.19094e-005
30.7617	0.0398924			30.7617	0.000163006
30.7617	0.000163006			30.7617	0.000163006
				30.7617	0.000163006
32.2266	0.0432699			32.2266	9.10716e-005
32.2266	9.10716e-005			32.2266	9.10716e-005
				32.2266	9.10716e-005
33.6914	0.0421918			33.6914	0.000152001
33.6914	0.000152001			33.6914	0.000152001
				33.6914	0.000152001
35.1563	0.0390444			35.1563	4.40543e-005
35.1563	4.40543e-005			35.1563	4.40543e-005
				35.1563	4.40543e-005
36.6211	0.0390412			36.6211	6.43207e-005
36.6211	6.43207e-005			36.6211	6.43207e-005
				36.6211	6.43207e-005
38.0859	0.0405491			38.0859	7.66126e-005
38.0859	7.66126e-005			38.0859	7.66126e-005
				38.0859	7.66126e-005
39.5508	0.0395888			39.5508	0.000261077
39.5508	0.000261077			39.5508	0.000261077
				39.5508	0.000261077
41.0156	0.0356906			41.0156	1.91667e-005
41.0156	1.91667e-005			41.0156	1.91667e-005
				41.0156	1.91667e-005
42.4805	0.0299121			42.4805	5.1213e-005
42.4805	5.1213e-005			42.4805	5.1213e-005
				42.4805	5.1213e-005
43.9453	0.0342535			43.9453	2.05763e-005
43.9453	2.05763e-005			43.9453	2.05763e-005
				43.9453	2.05763e-005
45.4102	0.0334135			45.4102	4.50255e-005
45.4102	4.50255e-005			45.4102	4.50255e-005
				45.4102	4.50255e-005
46.875	0.0327555			46.875	0.000122091
46.875	0.000122091			46.875	0.000122091
				46.875	0.000122091
48.3398	0.0328315			48.3398	9.57335e-005
48.3398	9.57335e-005			48.3398	9.57335e-005
				48.3398	9.57335e-005
49.8047	0.029045			49.8047	0.000125274
49.8047	0.000125274			49.8047	0.000125274
				49.8047	0.000125274
51.2695	0.0275836			51.2695	5.4896e-005
51.2695	5.4896e-005			51.2695	5.4896e-005
				51.2695	5.4896e-005
52.7344	0.0262177			52.7344	0.000109367
52.7344	0.000109367			52.7344	0.000109367
				52.7344	0.000109367
54.1992	0.0267373			54.1992	0.000131238
54.1992	0.000131238			54.1992	0.000131238
				54.1992	0.000131238
55.6641	0.0281548			55.6641	2.12442e-005
55.6641	2.12442e-005			55.6641	2.12442e-005
				55.6641	2.12442e-005
57.1289	0.0245303			57.1289	0.000115471
57.1289	0.000115471			57.1289	0.000115471
				57.1289	0.000115471
58.5938	0.0276503			58.5938	3.67745e-005
58.5938	3.67745e-005			58.5938	3.67745e-005
				58.5938	3.67745e-005
60.0586	0.0228761			60.0586	4.74416e-005
60.0586	4.74416e-005			60.0586	4.74416e-005
				60.0586	4.74416e-005
61.5234	0.0234601			61.5234	5.17198e-005
61.5234	5.17198e-005			61.5234	5.17198e-005
				61.5234	5.17198e-005
		62.9883	0.00177571	62.9883	3.7478e-005
		62.9883	3.7478e-005	62.9883	3.7478e-005
				62.9883	3.7478e-005
64.4531	0.0235342			64.4531	6.58418e-005
64.4531	6.58418e-005			64.4531	6.58418e-005
				64.4531	6.58418e-005
65.918	0.0237206			65.918	0.000144223
65.918	0.000144223			65.918	0.000144223
				65.918	0.000144223
67.3828	0.0189883			67.3828	0.000120435
67.3828	0.000120435			67.3828	0.000120435
				67.3828	0.000120435
		68.8477	0.00177499	68.8477	0.000100184
		68.8477	0.000100184	68.8477	0.000100184
				68.8477	0.000100184
70.3125	0.0198586			70.3125	8.14363e-005
70.3125	8.14363e-005			70.3125	8.14363e-005
				70.3125	8.14363e-005
71.7773	0.0180334			71.7773	0.000208193
71.7773	0.000208193			71.7773	0.000208193
				71.7773	0.000208193
73.2422	0.0174533			73.2422	0.000118016
73.2422	0.000118016			73.2422	0.000118016
				73.2422	0.000118016
		74.707	0.00129209	74.707	5.56595e-005
		74.707	5.56595e-005	74.707	5.56595e-005
				74.707	5.56595e-005
76.1719	0.0193948			76.1719	0.000104467
76.1719	0.000104467			76.1719	0.000104467
				76.1719	0.000104467
77.6367	0.0174966			77.6367	1.65532e-005
77.6367	1.65532e-005			77.6367	1.65532e-005
				77.6367	1.65532e-005
		79.1016	0.00148992	79.1016	6.42004e-005
		79.1016	6.42004e-005	79.1016	6.42004e-005
				79.1016	6.42004e-005
80.5664	0.0162984			80.5664	3.41397e-005
80.5664	3.41397e-005			80.5664	3.41397e-005
				80.5664	3.41397e-005
		82.0313	0.00217047	82.0313	7.67363e-005
		82.0313	7.67363e-005	82.0313	7.67363e-005
				82.0313	7.67363e-005
83.4961	0.0137728			83.4961	9.16432e-006
83.4961	9.16432e-006			83.4961	9.16432e-006
				83.4961	9.16432e-006
84.9609	0.0143186			84.9609	1.60228e-005
84.9609	1.60228e-005			84.9609	1.60228e-005
				84.9609	1.60228e-005
		86.4258	0.000308352	86.4258	1.52613e-005
		86.4258	1.52613e-005	86.4258	1.52613e-005
				86.4258	1.52613e-005
87.8906	0.014167			87.8906	0.000109749
87.8906	0.000109749			87.8906	0.000109749
				87.8906	0.000109749
		89.3555	0.00110663	89.3555	6.43227e-005
		89.3555	6.43227e-005	89.3555	6.43227e-005
				89.3555	6.43227e-005
90.8203	0.0150366			90.8203	6.12015e-005
90.8203	6.12015e-005			90.8203	6.12015e-005
				90.8203	6.12015e-005
92.2852	0.0136233			92.2852	6.87008e-005
92.2852	6.87008e-005			92.2852	6.87008e-005
				92.2852	6.87008e-005
		93.75	0.000274069	93.75	4.22343e-005
		93.75	4.22343e-005	93.75	4.22343e-005
				93.75	4.22343e-005
95.2148	0.0117581			95.2148	5.83892e-005
95.2148	5.83892e-005			95.2148	5.83892e-005
				95.2148	5.83892e-005
		96.6797	0.00148346	96.6797	0.000107862
		96.6797	0.000107862	96.6797	0.000107862
				96.6797	0.000107862
98.1445	0.0125663			98.1445	6.93694e-005
98.1445	6.93694e-005			98.1445	6.93694e-005
				98.1445	6.93694e-005
		99.6094	0.00161549	99.6094	0.000111384
		99.6094	0.000111384	99.6094	0.000111384
				99.6094	0.000111384
101.074	0.0137303			101.074	4.35534e-005
101.074	4.35534e-005			101.074	4.35534e-005
				101.074	4.35534e-005
		102.539	0.000853038	102.539	7.46202e-005
		102.539	7.46202e-005	102.539	7.46202e-005
				102.539	7.46202e-005
104.004	0.0111202			104.004	3.63629e-005
104.004	3.63629e-005			104.004	3.63629e-005
				104.004	3.63629e-005
		105.469	0.00106059	105.469	2.90603e-005
		105.469	2.90603e-005	105.469	2.90603e-005
				105.469	2.90603e-005
106.934	0.0113679			106.934	3.75358e-005
106.934	3.75358e-005			106.934	3.75358e-005
				106.934	3.75358e-005
		108.398	0.00197634	108.398	7.21565e-005
		108.398	7.21565e-005	108.398	7.21565e-005
				108.398	7.21565e-005
		109.863	0.00148249	109.863	1.90184e-005
		109.863	1.90184e-005	109.863	1.90184e-005
				109.863	1.90184e-005
111.328	0.0107927			111.328	6.01875e-005
111.328	6.01875e-005			111.328	6.01875e-005
				111.328	6.01875e-005
		112.793	0.0011125	112.793	2.26841e-005
		112.793	2.26841e-005	112.793	2.26841e-005
				112.793	2.26841e-005
114.258	0.0101337			114.258	0.000127693
114.258	0.000127693			114.258	0.000127693
				114.258	0.000127693
		115.723	0.000724962	115.723	9.19503e-005
		115.723	9.19503e-005	115.723	9.19503e-005
				115.723	9.19503e-005
117.188	0.0103312			117.188	0.000132056
117.188	0.000132056			117.188	0.000132056
				117.188	0.000132056
		118.652	0.000693727	118.652	3.51762e-005
		118.652	3.51762e-005	118.652	3.51762e-005
				118.652	3.51762e-005
120.117	0.0091409			120.117	8.78774e-005
120.117	8.78774e-005			120.117	8.78774e-005
				120.117	8.78774e-005
		121.582	0.00101954	121.582	7.21195e-005
		121.582	7.21195e-005	121.582	7.21195e-005
				121.582	7.21195e-005
		123.047	0.00196344	123.047	0.000118926
		123.047	0.000118926	123.047	0.000118926
				123.047	0.000118926
124.512	0.00869408			124.512	4.93549e-005
124.512	4.93549e-005			124.512	4.93549e-005
				124.512	4.93549e-005
		125.977	0.000258059	125.977	6.5415e-005
		125.977	6.5415e-005	125.977	6.5415e-005
				125.977	6.5415e-005
127.441	0.00805425			127.441	7.35739e-005
127.441	7.35739e-005			127.441	7.35739e-005
				127.441	7.35739e-005
		128.906	0.000578567	128.906	3.29135e-005
		128.906	3.29135e-005	128.906	3.29135e-005
				128.906	3.29135e-005
		130.371	0.00195064	130.371	0.000109718
		130.371	0.000109718	130.371	0.000109718
				130.371	0.000109718
131.836	0.00759021			131.836	1.59803e-005
131.836	1.59803e-005			131.836	1.59803e-005
				131.836	1.59803e-005
		133.301	0.00120539	133.301	5.07416e-005
		133.301	5.07416e-005	133.301	5.07416e-005
				133.301	5.07416e-005
134.766	0.00742509			134.766	1.69779e-005
134.766	1.69779e-005			134.766	1.69779e-005
				134.766	1.69779e-005
		136.23	0.000773587	136.23	5.91936e-005
		136.23	5.91936e-005	136.23	5.91936e-005
				136.23	5.91936e-005
		137.695	0.000915855	137.695	4.14301e-005
		137.695	4.14301e-005	137.695	4.14301e-005
				137.695	4.14301e-005
139.16	0.00792545			139.16	4.09847e-005
139.16	4.09847e-005			139.16	4.09847e-005
