"Electrical inductance L(X, I=0)"			
"-Xprot < X < Xprot"		"Xp- < X < Xp+"	
"<< coil out                                    X [mm]                                     coil in >>"	"Le [mH]"	"<< coil out                                    X [mm]                                     coil in >>"	"Le [mH]"
-2.7571	0.551311	-2.25236	0.537309
-2.7014	0.549774	-2.20356	0.535948
-2.6457	0.548234	-2.15477	0.534586
-2.59	0.546693	-2.10598	0.533223
-2.53431	0.545149	-2.05719	0.53186
-2.47861	0.543604	-2.0084	0.530495
-2.42291	0.542057	-1.95961	0.52913
-2.36721	0.540508	-1.91082	0.527764
-2.31151	0.538957	-1.86202	0.526398
-2.25581	0.537405	-1.81323	0.525031
-2.20011	0.535852	-1.76444	0.523663
-2.14441	0.534297	-1.71565	0.522295
-2.08871	0.532741	-1.66686	0.520927
-2.03301	0.531184	-1.61807	0.519559
-1.97732	0.529626	-1.56928	0.518191
-1.92162	0.528067	-1.52048	0.516822
-1.86592	0.526507	-1.47169	0.515454
-1.81022	0.524946	-1.4229	0.514086
-1.75452	0.523385	-1.37411	0.512718
-1.69882	0.521824	-1.32532	0.51135
-1.64312	0.520262	-1.27653	0.509983
-1.58742	0.5187	-1.22774	0.508616
-1.53172	0.517138	-1.17894	0.507249
-1.47602	0.515575	-1.13015	0.505884
-1.42033	0.514013	-1.08136	0.504519
-1.36463	0.512452	-1.03257	0.503155
-1.30893	0.51089	-0.983778	0.501791
-1.25323	0.50933	-0.934987	0.500429
-1.19753	0.50777	-0.886195	0.499068
-1.14183	0.50621	-0.837404	0.497708
-1.08613	0.504652	-0.788612	0.49635
-1.03043	0.503095	-0.739821	0.494992
-0.974733	0.501539	-0.691029	0.493637
-0.919034	0.499984	-0.642238	0.492283
-0.863335	0.498431	-0.593447	0.49093
-0.807636	0.496879	-0.544655	0.48958
-0.751937	0.495329	-0.495864	0.488231
-0.696238	0.493781	-0.447072	0.486885
-0.640539	0.492236	-0.398281	0.48554
-0.58484	0.490692	-0.349489	0.484198
-0.529141	0.489151	-0.300698	0.482858
-0.473442	0.487612	-0.251906	0.48152
-0.417743	0.486076	-0.203115	0.480185
-0.362044	0.484543	-0.154324	0.478853
-0.306345	0.483013	-0.105532	0.477523
-0.250646	0.481486	-0.0567406	0.476197
-0.194947	0.479962	-0.00794915	0.474873
-0.139248	0.478442	0.0408423	0.473557
-0.0835485	0.476925	0.0896338	0.472259
-0.0278495	0.475412	0.138425	0.470979
0.0278495	0.473906	0.187217	0.469715
0.0835485	0.47242	0.236008	0.468469
0.139248	0.470957	0.2848	0.467239
0.194947	0.469517	0.333591	0.466026
0.250646	0.468098	0.382382	0.464829
0.306345	0.466701	0.431174	0.463648
0.362044	0.465326	0.479965	0.462484
0.417743	0.463972	0.528757	0.461335
0.473442	0.462638	0.577548	0.460201
0.529141	0.461326	0.62634	0.459083
0.58484	0.460033	0.675131	0.45798
0.640539	0.45876	0.723923	0.456892
0.696238	0.457508	0.772714	0.455819
0.751937	0.456274	0.821506	0.45476
0.807636	0.45506	0.870297	0.453716
0.863335	0.453865	0.919089	0.452687
0.919034	0.452688	0.96788	0.451671
0.974733	0.45153	1.01667	0.45067
1.03043	0.45039	1.06546	0.449682
1.08613	0.449268	1.11425	0.448708
1.14183	0.448163	1.16305	0.447747
1.19753	0.447077	1.21184	0.4468
1.25323	0.446007	1.26063	0.445866
1.30893	0.444955	1.30942	0.444946
1.36463	0.44392	1.35821	0.444038
1.42033	0.442901	1.407	0.443143
1.47602	0.441899	1.45579	0.442261
1.53172	0.440913	1.50459	0.441391
1.58742	0.439943	1.55338	0.440534
1.64312	0.438989	1.60217	0.439689
1.69882	0.438051	1.65096	0.438856
1.75452	0.437128	1.69975	0.438035
1.81022	0.436221	1.74854	0.437227
1.86592	0.43533	1.79733	0.43643
1.92162	0.434453	1.84613	0.435645
1.97732	0.433591	1.89492	0.434871
2.03301	0.432744	1.94371	0.434109
2.08871	0.431911	1.9925	0.433359
2.14441	0.431093	2.04129	0.432619
2.20011	0.43029	2.09008	0.431891
2.25581	0.4295	2.13887	0.431174
2.31151	0.428725	2.18767	0.430468
2.36721	0.427963	2.23646	0.429773
2.42291	0.427215	2.28525	0.429089
2.47861	0.426481	2.33404	0.428415
2.53431	0.42576	2.38283	0.427752
2.59	0.425053	2.43162	0.427099
2.6457	0.424359	2.48042	0.426457
2.7014	0.423678	2.52921	0.425826
2.7571	0.42301	2.578	0.425204
