"Force factor Bl (X)"					
"-Xprot < X < Xprot"		"Xp- < X < Xp+"		"Bl (-X)"	
"<< coil out                                    X [mm]                                     coil in >>"	"Bl [N/A]"	"<< coil out                                    X [mm]                                     coil in >>"	"Bl [N/A]"	"<< coil out                                    X [mm]                                     coil in >>"	"Bl [N/A]"
-2.7571	6.13927	-2.25236	6.29044	2.7571	6.13927
-2.7014	6.15935	-2.20356	6.30165	2.7014	6.15935
-2.6457	6.17854	-2.15477	6.31232	2.6457	6.17854
-2.59	6.19686	-2.10598	6.32246	2.59	6.19686
-2.53431	6.21433	-2.05719	6.3321	2.53431	6.21433
-2.47861	6.23097	-2.0084	6.34124	2.47861	6.23097
-2.42291	6.2468	-1.95961	6.3499	2.42291	6.2468
-2.36721	6.26183	-1.91082	6.3581	2.36721	6.26183
-2.31151	6.2761	-1.86202	6.36585	2.31151	6.2761
-2.25581	6.28962	-1.81323	6.37317	2.25581	6.28962
-2.20011	6.30242	-1.76444	6.38007	2.20011	6.30242
-2.14441	6.31452	-1.71565	6.38656	2.14441	6.31452
-2.08871	6.32593	-1.66686	6.39267	2.08871	6.32593
-2.03301	6.33669	-1.61807	6.3984	2.03301	6.33669
-1.97732	6.34681	-1.56928	6.40378	1.97732	6.34681
-1.92162	6.35633	-1.52048	6.4088	1.92162	6.35633
-1.86592	6.36525	-1.47169	6.4135	1.86592	6.36525
-1.81022	6.37361	-1.4229	6.41788	1.81022	6.37361
-1.75452	6.38142	-1.37411	6.42195	1.75452	6.38142
-1.69882	6.38871	-1.32532	6.42573	1.69882	6.38871
-1.64312	6.39551	-1.27653	6.42923	1.64312	6.39551
-1.58742	6.40182	-1.22774	6.43247	1.58742	6.40182
-1.53172	6.40768	-1.17894	6.43545	1.53172	6.40768
-1.47602	6.41309	-1.13015	6.43818	1.47602	6.41309
-1.42033	6.4181	-1.08136	6.44069	1.42033	6.4181
-1.36463	6.42271	-1.03257	6.44297	1.36463	6.42271
-1.30893	6.42694	-0.983778	6.44505	1.30893	6.42694
-1.25323	6.43081	-0.934987	6.44693	1.25323	6.43081
-1.19753	6.43434	-0.886195	6.44861	1.19753	6.43434
-1.14183	6.43755	-0.837404	6.45012	1.14183	6.43755
-1.08613	6.44045	-0.788612	6.45145	1.08613	6.44045
-1.03043	6.44307	-0.739821	6.45262	1.03043	6.44307
-0.974733	6.44541	-0.691029	6.45364	0.974733	6.44541
-0.919034	6.4475	-0.642238	6.45451	0.919034	6.4475
-0.863335	6.44934	-0.593447	6.45524	0.863335	6.44934
-0.807636	6.45095	-0.544655	6.45584	0.807636	6.45095
-0.751937	6.45235	-0.495864	6.45631	0.751937	6.45235
-0.696238	6.45354	-0.447072	6.45666	0.696238	6.45354
