"Magnitude of electric impedance Z(f)"			
"Measured"		"Fitted"	
"Frequency [Hz]"	"[Ohm]"	"Frequency [Hz]"	"[Ohm]"
1.46484	5.69133	1.46484	5.71621
2.92969	5.80199	2.92969	5.76535
4.39453	5.92875	4.39453	5.84585
5.85938	6.08009	5.85938	5.95766
7.32422	6.24671	7.32422	6.10111
8.78906	6.52774	8.78906	6.2769
10.2539	6.71993	10.2539	6.48612
11.7188	7.05523	11.7188	6.73025
13.1836	7.31035	13.1836	7.01127
14.6484	7.65764	14.6484	7.33167
16.1133	8.05511	16.1133	7.69459
17.5781	8.5305	17.5781	8.10388
19.043	8.86082	19.043	8.56426
20.5078	9.40213	20.5078	9.08145
21.9727	10.1111	21.9727	9.66237
23.4375	10.9325	23.4375	10.3153
24.9023	11.2997	24.9023	11.0503
26.3672	12.2867	26.3672	11.8793
27.832	13.1354	27.832	12.8163
29.2969	14.0436	29.2969	13.8779
30.7617	15.2298	30.7617	15.0831
32.2266	16.2758	32.2266	16.453
33.6914	18.2838	33.6914	18.0094
35.1563	19.3721	35.1563	19.7721
36.6211	21.1312	36.6211	21.7523
38.0859	23.8614	38.0859	23.9419
39.5508	26.6427	39.5508	26.2949
41.0156	28.2914	41.0156	28.7028
42.4805	29.2723	42.4805	30.9735
43.9453	32.5486	43.9453	32.837
45.4102	34.0809	45.4102	34.0085
46.875	35.0748	46.875	34.3023
48.3398	34.4227	48.3398	33.724
49.8047	31.5469	49.8047	32.459
51.2695	31.0701	51.2695	30.7725
52.7344	29.2492	52.7344	28.9074
54.1992	26.6817	54.1992	27.0361
55.6641	25.4899	55.6641	25.2589
57.1289	23.8847	57.1289	23.6234
58.5938	22.5472	58.5938	22.1447
60.0586	20.8493	60.0586	20.82
61.5234	19.3055	61.5234	19.638
64.4531	17.6208	64.4531	17.6439
65.918	16.5773	65.918	16.8029
67.3828	15.9722	67.3828	16.0487
70.3125	14.5093	70.3125	14.7575
71.7773	13.9297	71.7773	14.2026
73.2422	13.5605	73.2422	13.6984
76.1719	12.5636	76.1719	12.8186
77.6367	12.0715	77.6367	12.4332
80.5664	11.835	80.5664	11.7521
83.4961	11.0733	83.4961	11.1702
84.9609	10.7621	84.9609	10.9104
87.8906	10.3008	87.8906	10.4433
90.8203	9.75153	90.8203	10.0358
92.2852	9.62749	92.2852	9.85115
95.2148	9.29378	95.2148	9.5149
98.1445	9.12858	98.1445	9.21688
101.074	8.78485	101.074	8.95136
104.004	8.57373	104.004	8.71367
106.934	8.34986	106.934	8.49998
111.328	8.05694	111.328	8.21769
114.258	7.90478	114.258	8.05127
117.188	7.73241	117.188	7.89985
120.117	7.64058	120.117	7.76169
124.512	7.45106	124.512	7.57613
127.441	7.38224	127.441	7.46509
131.836	7.24239	131.836	7.31496
134.766	7.13859	134.766	7.22457
139.16	7.00911	139.16	7.10173
143.555	6.91179	143.555	6.99233
147.949	6.83402	147.949	6.89464
152.344	6.74452	152.344	6.80719
156.738	6.66398	156.738	6.72877
161.133	6.61906	161.133	6.65833
