"Magnitude of transfer function Hx(f)= X(f)/U(f)"							
"Measured"		"Fitted without creep"		"Fitted"		"Imported"	
"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"	"Frequency [Hz]"	"[mm/V]"
5.85938	1.09283	5.85938	0.984625	5.85938	1.02745		
7.32422	1.03075	7.32422	0.970846	7.32422	1.00712		
8.78906	1.01715	8.78906	0.954693	8.78906	0.985428		
10.2539	0.979378	10.2539	0.936506	10.2539	0.962484		
11.7188	0.9155	11.7188	0.916635	11.7188	0.938507		
13.1836	0.92184	13.1836	0.895427	13.1836	0.913756		
14.6484	0.877865	14.6484	0.873208	14.6484	0.88849		
16.1133	0.830167	16.1133	0.850278	16.1133	0.862951		
17.5781	0.815629	17.5781	0.826907	17.5781	0.837359		
19.043	0.791908	19.043	0.803331	19.043	0.8119		
20.5078	0.772453	20.5078	0.779748	20.5078	0.786733		
21.9727	0.75888	21.9727	0.756328	21.9727	0.761984		
23.4375	0.719101	23.4375	0.733206	23.4375	0.737756		
24.9023	0.690334	24.9023	0.710492	24.9023	0.714125		
26.3672	0.6762	26.3672	0.688269	26.3672	0.691146		
27.832	0.660013	27.832	0.666601	27.832	0.668859		
29.2969	0.632967	29.2969	0.645534	29.2969	0.647288		
30.7617	0.613851	30.7617	0.6251	30.7617	0.626445		
32.2266	0.598411	32.2266	0.605316	32.2266	0.606334		
33.6914	0.574296	33.6914	0.586192	33.6914	0.586949		
35.1563	0.558209	35.1563	0.567729	35.1563	0.56828		
36.6211	0.532531	36.6211	0.549923	36.6211	0.550313		
38.0859	0.532851	38.0859	0.532763	38.0859	0.53303		
39.5508	0.519349	39.5508	0.516235	39.5508	0.51641		
41.0156	0.501685	41.0156	0.500324	41.0156	0.500431		
42.4805	0.479957	42.4805	0.485012	42.4805	0.485071		
43.9453	0.466785	43.9453	0.470279	43.9453	0.470306		
45.4102	0.463707	45.4102	0.456106	45.4102	0.456114		
46.875	0.432229	46.875	0.442471	46.875	0.44247		
48.3398	0.431064	48.3398	0.429354	48.3398	0.429352		
49.8047	0.406081	49.8047	0.416734	49.8047	0.416737		
51.2695	0.402412	51.2695	0.404592	51.2695	0.404605		
52.7344	0.389741	52.7344	0.392907	52.7344	0.392933		
54.1992	0.38099	54.1992	0.381661	54.1992	0.381702		
55.6641	0.370309	55.6641	0.370835	55.6641	0.370892		
57.1289	0.373671	57.1289	0.36041	57.1289	0.360485		
58.5938	0.356787	58.5938	0.35037	58.5938	0.350463		
60.0586	0.343418	60.0586	0.340697	60.0586	0.340809		
61.5234	0.336256	61.5234	0.331377	61.5234	0.331506		
64.4531	0.31329	64.4531	0.313733	64.4531	0.313895		
65.918	0.31556	65.918	0.30538	65.918	0.305558		
67.3828	0.29484	67.3828	0.297323	67.3828	0.297515		
70.3125	0.297104	70.3125	0.282044	70.3125	0.282262		
71.7773	0.304242	71.7773	0.274799	71.7773	0.275028		
73.2422	0.27259	73.2422	0.267802	73.2422	0.268042		
76.1719	0.261919	76.1719	0.254512	76.1719	0.25477		
77.6367	0.259912	77.6367	0.2482	77.6367	0.248465		
80.5664	0.234962	80.5664	0.236195	80.5664	0.236473		
83.4961	0.219885	83.4961	0.224963	83.4961	0.225249		
84.9609	0.215462	84.9609	0.219617	84.9609	0.219906		
87.8906	0.212867	87.8906	0.209431	87.8906	0.209725		
90.8203	0.197735	90.8203	0.199875	90.8203	0.200171		
92.2852	0.197804	92.2852	0.195319	92.2852	0.195615		
95.2148	0.181352	95.2148	0.186621	95.2148	0.186915		
98.1445	0.179097	98.1445	0.178441	98.1445	0.178733		
101.074	0.172469	101.074	0.170742	101.074	0.171031		
104.004	0.169445	104.004	0.16349	104.004	0.163773		
106.934	0.161169	106.934	0.156651	106.934	0.156928		
111.328	0.15244	111.328	0.147106	111.328	0.147374		
114.258	0.1446	114.258	0.14118	114.258	0.141441		
117.188	0.137825	117.188	0.135576	117.188	0.135829		
120.117	0.135127	120.117	0.130273	120.117	0.130518		
124.512	0.119851	124.512	0.122838	124.512	0.123072		
127.441	0.118652	127.441	0.118202	127.441	0.118427		
131.836	0.101519	131.836	0.111687	131.836	0.111901		
134.766	0.101469	134.766	0.107616	134.766	0.107822		
139.16	0.0993081	139.16	0.101883	139.16	0.102077		
143.555	0.107846	143.555	0.0965619	143.555	0.0967454		
147.949	0.0889351	147.949	0.0916166	147.949	0.0917896		
152.344	0.0833755	152.344	0.0870141	152.344	0.0871769		
156.738	0.0822067	156.738	0.0827246	156.738	0.0828779		
161.133	0.0704139	161.133	0.0787217	161.133	0.078866		
165.527	0.0786805	165.527	0.0749815	165.527	0.0751172		
169.922	0.0760353	169.922	0.0714825	169.922	0.0716102		
175.781	0.0720507	175.781	0.067159	175.781	0.0672766		
180.176	0.0653795	180.176	0.0641503	180.176	0.064261		
186.035	0.0581646	186.035	0.0604214	186.035	0.0605234		
191.895	0.0541628	191.895	0.0569857	191.895	0.0570798		
197.754	0.0492625	197.754	0.0538145	197.754	0.0539013		
202.148	0.0459911	202.148	0.0515942	202.148	0.051676		
209.473	0.0417441	209.473	0.0481665	209.473	0.0482406		
215.332	0.0418465	215.332	0.0456473	215.332	0.0457158		
221.191	0.0390781	221.191	0.0433066	221.191	0.04337		
227.051	0.0357972	227.051	0.0411287	227.051	0.0411875		
234.375	0.0354877	234.375	0.0386138	234.375	0.0386672		
241.699	0.0323432	241.699	0.0363065	241.699	0.0363552		
249.023	0.027134	249.023	0.0341855	249.023	0.0342299		
254.883	0.0264857	254.883	0.0326101	254.883	0.0326514		
263.672	0.0255742	263.672	0.0304292	263.672	0.0304663		
270.996	0.034847	270.996	0.0287629	270.996	0.0287968		
278.32	0.0339268	278.32	0.0272199	278.32	0.027251		
287.109	0.0311583	287.109	0.0255151	287.109	0.0255433		
295.898	0.0254505	295.898	0.0239543	295.898	0.0239797		
303.223	0.0221271	303.223	0.0227525	303.223	0.0227759		
313.477	0.0158413	313.477	0.0212055	313.477	0.0212264		
322.266	0.0236706	322.266	0.0199927	322.266	0.0200118		
331.055	0.0144198	331.055	0.0188735	331.055	0.0188909		
341.309	0.0183409	341.309	0.0176742	341.309	0.0176898		
351.563	0.0180076	351.563	0.0165775	351.563	0.0165916		
361.816	0.0123438	361.816	0.0155726	361.816	0.0155853		
372.07	0.0160063	372.07	0.0146498	372.07	0.0146613		
382.324	0.0179576	382.324	0.0138009	382.324	0.0138113		
394.043	0.00877816	394.043	0.0129116	394.043	0.012921		
405.762	0.0101549	405.762	0.0120997	405.762	0.0121081		
417.48	0.018462	417.48	0.0113567	417.48	0.0113642		
429.199	0.0110743	429.199	0.0106754	429.199	0.0106822		
442.383	0.00736398	442.383	0.00997471	442.383	0.00998081		
455.566	0.0102446	455.566	0.00933624	455.566	0.0093417		
468.75	0.00825504	468.75	0.0087531	468.75	0.008758		
481.934	0.011031	481.934	0.00821936	481.934	0.00822378		
496.582	0.0115417	496.582	0.00767797	496.582	0.00768191		
511.23	0.0154255	511.23	0.00718499	511.23	0.00718852		
525.879	0.0054474	525.879	0.00673507	525.879	0.00673823		
541.992	0.00843191	541.992	0.00628434	541.992	0.00628716		
558.105	0.00463592	558.105	0.00587471	558.105	0.00587723		
574.219	0.00585367	574.219	0.00550154	574.219	0.0055038		
590.332	0.00103335	590.332	0.00516081	590.332	0.00516284		
607.91	0.0045024	607.91	0.004822	607.91	0.00482381		
625.488	0.00295958	625.488	0.0045137	625.488	0.00451531		
644.531	0.00495173	644.531	0.00421019	644.531	0.00421162		
663.574	0.00541127	663.574	0.00393474	663.574	0.00393602		
682.617	0.00402552	682.617	0.00368413	682.617	0.00368528		
701.66	0.00535365	701.66	0.00345558	701.66	0.0034566		
723.633	0.00207036	723.633	0.00321612	723.633	0.00321703		
744.141	0.00969641	744.141	0.00301338	744.141	0.00301419		
766.113	0.00584984	766.113	0.0028158	766.113	0.00281653		
788.086	0.00373237	788.086	0.00263622	788.086	0.00263686		
811.523	0.00191242	811.523	0.00246219	811.523	0.00246277		
834.961	0.00630325	834.961	0.00230416	834.961	0.00230468		
859.863	0.00189046	859.863	0.00215173	859.863	0.00215219		
884.766	0.00632072	884.766	0.00201338	884.766	0.00201379		
911.133	0.00277709	911.133	0.00188042	911.133	0.00188078		
937.5	0.000978257	937.5	0.00175974	937.5	0.00176007		
965.332	0.00313649	965.332	0.00164412	965.332	0.0016444		
993.164	0.00208709	993.164	0.00153914	993.164	0.0015394		
1022.46	0.00708511	1022.46	0.00143878	1022.46	0.00143901		
1051.76	0.0010568	1051.76	0.0013476	1051.76	0.00134781		
1082.52	0.00448648	1082.52	0.00126059	1082.52	0.00126078		
1114.75	0.0024923	1114.75	0.00117789	1114.75	0.00117805		
