"Spectrum I(f) of current at speaker terminals"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"	"Frequency [Hz]"	"[dB]   0 dB = 1 A"
1.46484	-54.1651			1.46484	-99.8518
1.46484	-99.8518			1.46484	-99.8518
				1.46484	-99.8518
2.92969	-54.4457			2.92969	-110.726
2.92969	-110.726			2.92969	-110.726
				2.92969	-110.726
4.39453	-56.8255			4.39453	-104.938
4.39453	-104.938			4.39453	-104.938
				4.39453	-104.938
5.85938	-56.2519			5.85938	-107.697
5.85938	-107.697			5.85938	-107.697
				5.85938	-107.697
7.32422	-56.0344			7.32422	-102.121
7.32422	-102.121			7.32422	-102.121
				7.32422	-102.121
8.78906	-56.117			8.78906	-101.13
8.78906	-101.13			8.78906	-101.13
				8.78906	-101.13
10.2539	-56.2138			10.2539	-101.149
10.2539	-101.149			10.2539	-101.149
				10.2539	-101.149
11.7188	-56.4819			11.7188	-104.842
11.7188	-104.842			11.7188	-104.842
				11.7188	-104.842
13.1836	-56.6768			13.1836	-121.624
13.1836	-121.624			13.1836	-121.624
				13.1836	-121.624
14.6484	-57.0313			14.6484	-103.911
14.6484	-103.911			14.6484	-103.911
				14.6484	-103.911
16.1133	-57.3678			16.1133	-104.79
16.1133	-104.79			16.1133	-104.79
				16.1133	-104.79
17.5781	-57.781			17.5781	-109.433
17.5781	-109.433			17.5781	-109.433
				17.5781	-109.433
19.043	-58.037			19.043	-113.111
19.043	-113.111			19.043	-113.111
				19.043	-113.111
20.5078	-58.5301			20.5078	-115.906
20.5078	-115.906			20.5078	-115.906
				20.5078	-115.906
21.9727	-59.1185			21.9727	-120.42
21.9727	-120.42			21.9727	-120.42
				21.9727	-120.42
23.4375	-59.7294			23.4375	-107.909
23.4375	-107.909			23.4375	-107.909
				23.4375	-107.909
24.9023	-59.9846			24.9023	-113.189
24.9023	-113.189			24.9023	-113.189
				24.9023	-113.189
26.3672	-60.727			26.3672	-107.323
