"Spectrum X(f) of voice coil displacement"					
"Signal lines"		"Noise + Distortions"		"Noise floor"	
"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"	"Frequency [Hz]"	"[mm]"
1.46484	0.0143445			1.46484	0.0019918
1.46484	0.0019918			1.46484	0.0019918
				1.46484	0.0019918
2.92969	0.0134442			2.92969	0.000829724
2.92969	0.000829724			2.92969	0.000829724
				2.92969	0.000829724
4.39453	0.00907014			4.39453	0.000269817
4.39453	0.000269817			4.39453	0.000269817
				4.39453	0.000269817
5.85938	0.0102299			5.85938	0.000568465
5.85938	0.000568465			5.85938	0.000568465
				5.85938	0.000568465
7.32422	0.0101645			7.32422	0.000474551
7.32422	0.000474551			7.32422	0.000474551
				7.32422	0.000474551
8.78906	0.0103823			8.78906	0.000265168
8.78906	0.000265168			8.78906	0.000265168
				8.78906	0.000265168
10.2539	0.0101772			10.2539	0.000326079
10.2539	0.000326079			10.2539	0.000326079
				10.2539	0.000326079
11.7188	0.00968442			11.7188	0.000186857
11.7188	0.000186857			11.7188	0.000186857
				11.7188	0.000186857
13.1836	0.00987995			13.1836	0.000229247
13.1836	0.000229247			13.1836	0.000229247
				13.1836	0.000229247
14.6484	0.00946148			14.6484	0.000165932
14.6484	0.000165932			14.6484	0.000165932
				14.6484	0.000165932
16.1133	0.00905417			16.1133	0.000207166
16.1133	0.000207166			16.1133	0.000207166
				16.1133	0.000207166
17.5781	0.00898287			17.5781	6.61535e-005
17.5781	6.61535e-005			17.5781	6.61535e-005
				17.5781	6.61535e-005
19.043	0.00879633			19.043	0.00026004
19.043	0.00026004			19.043	0.00026004
				19.043	0.00026004
20.5078	0.00860186			20.5078	7.34403e-005
20.5078	7.34403e-005			20.5078	7.34403e-005
				20.5078	7.34403e-005
21.9727	0.00849275			21.9727	0.000189434
21.9727	0.000189434			21.9727	0.000189434
				21.9727	0.000189434
23.4375	0.00811035			23.4375	4.36599e-005
23.4375	4.36599e-005			23.4375	4.36599e-005
				23.4375	4.36599e-005
24.9023	0.00781436			24.9023	6.28458e-005
24.9023	6.28458e-005			24.9023	6.28458e-005
				24.9023	6.28458e-005
26.3672	0.00764121			26.3672	0.000292771
26.3672	0.000292771			26.3672	0.000292771
				26.3672	0.000292771
27.832	0.00751178			27.832	0.000184827
27.832	0.000184827			27.832	0.000184827
				27.832	0.000184827
29.2969	0.0072813			29.2969	0.000257722
29.2969	0.000257722			29.2969	0.000257722
				29.2969	0.000257722
30.7617	0.00702338			30.7617	0.0001206
30.7617	0.0001206			30.7617	0.0001206
				30.7617	0.0001206
32.2266	0.0068531			32.2266	0.000104934
32.2266	0.000104934			32.2266	0.000104934
				32.2266	0.000104934
33.6914	0.00665575			33.6914	8.40804e-005
33.6914	8.40804e-005			33.6914	8.40804e-005
				33.6914	8.40804e-005
35.1563	0.00647701			35.1563	0.000134411
35.1563	0.000134411			35.1563	0.000134411
				35.1563	0.000134411
36.6211	0.00620225			36.6211	6.94236e-005
36.6211	6.94236e-005			36.6211	6.94236e-005
				36.6211	6.94236e-005
38.0859	0.00618762			38.0859	9.13938e-005
38.0859	9.13938e-005			38.0859	9.13938e-005
				38.0859	9.13938e-005
39.5508	0.00607348			39.5508	6.79403e-005
39.5508	6.79403e-005			39.5508	6.79403e-005
				39.5508	6.79403e-005
41.0156	0.00584972			41.0156	8.77258e-005
41.0156	8.77258e-005			41.0156	8.77258e-005
				41.0156	8.77258e-005
42.4805	0.00559395			42.4805	0.000166212
42.4805	0.000166212			42.4805	0.000166212
				42.4805	0.000166212
43.9453	0.0054557			43.9453	3.76767e-005
43.9453	3.76767e-005			43.9453	3.76767e-005
				43.9453	3.76767e-005
45.4102	0.00542468			45.4102	4.48259e-005
45.4102	4.48259e-005			45.4102	4.48259e-005
				45.4102	4.48259e-005
46.875	0.00505743			46.875	6.54069e-005
46.875	6.54069e-005			46.875	6.54069e-005
				46.875	6.54069e-005
48.3398	0.00503356			48.3398	0.000133995
48.3398	0.000133995			48.3398	0.000133995
				48.3398	0.000133995
49.8047	0.00475459			49.8047	0.000119389
49.8047	0.000119389			49.8047	0.000119389
				49.8047	0.000119389
51.2695	0.00471875			51.2695	0.00011564
51.2695	0.00011564			51.2695	0.00011564
				51.2695	0.00011564
52.7344	0.00453956			52.7344	0.000104958
52.7344	0.000104958			52.7344	0.000104958
				52.7344	0.000104958
54.1992	0.00444768			54.1992	0.000161536
54.1992	0.000161536			54.1992	0.000161536
				54.1992	0.000161536
55.6641	0.00430328			55.6641	0.000126598
55.6641	0.000126598			55.6641	0.000126598
				55.6641	0.000126598
57.1289	0.00435131			57.1289	6.42413e-005
57.1289	6.42413e-005			57.1289	6.42413e-005
				57.1289	6.42413e-005
58.5938	0.00414574			58.5938	3.62186e-005
58.5938	3.62186e-005			58.5938	3.62186e-005
				58.5938	3.62186e-005
60.0586	0.00400044			60.0586	1.49996e-005
