"Stiffness of suspension Kms (X)"					
"-Xprot < X < Xprot"		"Xp- < X < Xp+"		"Kms (-X)"	
"<< coil out                                    X [mm]                                     coil in >>"	"Kms [N/mm]"	"<< coil out                                    X [mm]                                     coil in >>"	"Kms [N/mm]"	"<< coil out                                    X [mm]                                     coil in >>"	"Kms [N/mm]"
-2.73625	1.38892	-2.26225	1.20439	-2.73625	0.555442
-2.68097	1.3656	-2.21329	1.18723	-2.68097	0.556309
-2.62569	1.34278	-2.16432	1.17041	-2.62569	0.557214
-2.57042	1.32044	-2.11535	1.15393	-2.57042	0.55816
-2.51514	1.29857	-2.06639	1.13777	-2.51514	0.55915
-2.45986	1.27717	-2.01742	1.12195	-2.45986	0.560186
-2.40458	1.25623	-1.96845	1.10644	-2.40458	0.561271
-2.3493	1.23574	-1.91949	1.09125	-2.3493	0.562408
-2.29403	1.2157	-1.87052	1.07638	-2.29403	0.563598
-2.23875	1.19611	-1.82155	1.06181	-2.23875	0.564846
-2.18347	1.17695	-1.77259	1.04755	-2.18347	0.566153
-2.12819	1.15822	-1.72362	1.03358	-2.12819	0.567523
-2.07292	1.13991	-1.67465	1.01992	-2.07292	0.568959
-2.01764	1.12202	-1.62569	1.00654	-2.01764	0.570464
-1.96236	1.10453	-1.57672	0.993457	-1.96236	0.57204
-1.90708	1.08745	-1.52775	0.980654	-1.90708	0.57369
-1.8518	1.07077	-1.47879	0.968131	-1.8518	0.575419
-1.79653	1.05448	-1.42982	0.955883	-1.79653	0.577228
-1.74125	1.03858	-1.38086	0.943907	-1.74125	0.579122
-1.68597	1.02305	-1.33189	0.932198	-1.68597	0.581102
-1.63069	1.0079	-1.28292	0.920753	-1.63069	0.583174
-1.57542	0.993112	-1.23396	0.909568	-1.57542	0.585339
-1.52014	0.978688	-1.18499	0.898638	-1.52014	0.587601
-1.46486	0.964619	-1.13602	0.88796	-1.46486	0.589965
-1.40958	0.9509	-1.08706	0.87753	-1.40958	0.592432
-1.3543	0.937526	-1.03809	0.867343	-1.3543	0.595006
-1.29903	0.924489	-0.989123	0.857398	-1.29903	0.597692
-1.24375	0.911784	-0.940157	0.847688	-1.24375	0.600493
-1.18847	0.899407	-0.89119	0.838212	-1.18847	0.603412
-1.13319	0.88735	-0.842224	0.828964	-1.13319	0.606452
-1.07792	0.87561	-0.793257	0.819942	-1.07792	0.609619
-1.02264	0.864179	-0.744291	0.811141	-1.02264	0.612915
-0.967361	0.853053	-0.695324	0.802559	-0.967361	0.616344
-0.912083	0.842227	-0.646358	0.79419	-0.912083	0.61991
-0.856805	0.831694	-0.597391	0.786033	-0.856805	0.623617
-0.801527	0.82145	-0.548425	0.778082	-0.801527	0.627469
-0.74625	0.811489	-0.499458	0.770336	-0.74625	0.63147
-0.690972	0.801806	-0.450492	0.762789	-0.690972	0.635624
-0.635694	0.792396	-0.401525	0.75544	-0.635694	0.639935
-0.580416	0.783253	-0.352559	0.748283	-0.580416	0.644406
-0.525139	0.774373	-0.303592	0.741316	-0.525139	0.649043
-0.469861	0.765751	-0.254626	0.734536	-0.469861	0.65385
-0.414583	0.757381	-0.205659	0.727939	-0.414583	0.65883
-0.359305	0.749258	-0.156693	0.721521	-0.359305	0.663988
-0.304028	0.741377	-0.107726	0.71528	-0.304028	0.669328
-0.24875	0.733735	-0.0587598	0.709211	-0.24875	0.674854
-0.193472	0.726325	-0.00979325	0.703313	-0.193472	0.680572
-0.138194	0.719143	0.0391732	0.697581	-0.138194	0.686485
-0.0829166	0.712184	0.0881398	0.692012	-0.0829166	0.692599
-0.0276389	0.705443	0.137106	0.686604	-0.0276389	0.698916
0.0276389	0.698916	0.186073	0.681352	0.0276389	0.705443
0.0829166	0.692599	0.235039	0.676255	0.0829166	0.712184
0.138194	0.686485	0.284006	0.671308	0.138194	0.719143
0.193472	0.680572	0.332972	0.666508	0.193472	0.726325
0.24875	0.674854	0.381939	0.661854	0.24875	0.733735
0.304028	0.669328	0.430905	0.657341	0.304028	0.741377
0.359305	0.663988	0.479872	0.652967	0.359305	0.749258
0.414583	0.65883	0.528838	0.648728	0.414583	0.757381
0.469861	0.65385	0.577805	0.644622	0.469861	0.765751
0.525139	0.649043	0.626771	0.640646	0.525139	0.774373
0.580416	0.644406	0.675738	0.636796	0.580416	0.783253
0.635694	0.639935	0.724704	0.633071	0.635694	0.792396
0.690972	0.635624	0.773671	0.629467	0.690972	0.801806
0.74625	0.63147	0.822637	0.625981	0.74625	0.811489
0.801527	0.627469	0.871604	0.622611	0.801527	0.82145
0.856805	0.623617	0.92057	0.619353	0.856805	0.831694
0.912083	0.61991	0.969537	0.616206	0.912083	0.842227
0.967361	0.616344	1.0185	0.613167	0.967361	0.853053
1.02264	0.612915	1.06747	0.610232	1.02264	0.864179
1.07792	0.609619	1.11644	0.607399	1.07792	0.87561
1.13319	0.606452	1.1654	0.604666	1.13319	0.88735
1.18847	0.603412	1.21437	0.602029	1.18847	0.899407
1.24375	0.600493	1.26334	0.599487	1.24375	0.911784
1.29903	0.597692	1.3123	0.597037	1.29903	0.924489
1.3543	0.595006	1.36127	0.594676	1.3543	0.937526
1.40958	0.592432	1.41024	0.592402	1.40958	0.9509
1.46486	0.589965	1.4592	0.590212	1.46486	0.964619
1.52014	0.587601	1.50817	0.588104	1.52014	0.978688
1.57542	0.585339	1.55713	0.586076	1.57542	0.993112
1.63069	0.583174	1.6061	0.584125	1.63069	1.0079
1.68597	0.581102	1.65507	0.582249	1.68597	1.02305
1.74125	0.579122	1.70403	0.580445	1.74125	1.03858
1.79653	0.577228	1.753	0.578712	1.79653	1.05448
1.8518	0.575419	1.80197	0.577047	1.8518	1.07077
1.90708	0.57369	1.85093	0.575447	1.90708	1.08745
1.96236	0.57204	1.8999	0.573911	1.96236	1.10453
2.01764	0.570464	1.94887	0.572436	2.01764	1.12202
2.07292	0.568959	1.99783	0.57102	2.07292	1.13991
2.12819	0.567523	2.0468	0.569661	2.12819	1.15822
2.18347	0.566153	2.09577	0.568358	2.18347	1.17695
2.23875	0.564846	2.14473	0.567107	2.23875	1.19611
2.29403	0.563598	2.1937	0.565907	2.29403	1.2157
2.3493	0.562408	2.24267	0.564755	2.3493	1.23574
2.40458	0.561271	2.29163	0.563651	2.40458	1.25623
2.45986	0.560186	2.3406	0.562591	2.45986	1.27717
2.51514	0.55915	2.38957	0.561575	2.51514	1.29857
2.57042	0.55816	2.43853	0.560599	2.57042	1.32044
2.62569	0.557214	2.4875	0.559662	2.62569	1.34278
2.68097	0.556309	2.53646	0.558763	2.68097	1.3656
2.73625	0.555442	2.58543	0.557899	2.73625	1.38892
